"Gender","Age","Contract","MonthlyCharges","Tenure","InternetService","PhoneService","MultipleLines","PaymentMethod","Churn"
"Male",64,"Month-to-Month",99.45,57,"Fiber optic","No","No","Credit card (automatic)","Yes"
"Female",29,"Month-to-Month",90.71,55,"Fiber optic","Yes","No","Mailed check","No"
"Female",33,"One Year",25.02,53,"Fiber optic","Yes","No","Electronic check","No"
"Female",41,"Month-to-Month",27.29,56,"Fiber optic","Yes","No","Electronic check","No"
"Male",36,"One Year",60.29,9,"No","Yes","No","Credit card (automatic)","Yes"
"Male",25,"Month-to-Month",49.53,22,"Fiber optic","Yes","No","Mailed check","Yes"
"Male",48,"One Year",43.24,13,"DSL","Yes","No","Credit card (automatic)","No"
"Female",38,"Month-to-Month",48.1,48,"Fiber optic","Yes","No","Mailed check","No"
"Female",34,"One Year",100.35,18,"DSL","Yes","Yes","Electronic check","No"
"Female",40,"Month-to-Month",112.92,40,"Fiber optic","No","No","Bank transfer (automatic)","No"
"Male",54,"Month-to-Month",60.51,17,"DSL","No","No phone service","Electronic check","No"
"Female",71,"Month-to-Month",110.61,15,"DSL","Yes","Yes","Bank transfer (automatic)","No"
"Female",33,"One Year",52.15,15,"No","Yes","Yes","Bank transfer (automatic)","No"
"Male",23,"One Year",67.64,63,"DSL","Yes","No","Mailed check","No"
"Male",25,"Month-to-Month",42.6,39,"Fiber optic","Yes","No phone service","Credit card (automatic)","Yes"
"Male",42,"Month-to-Month",84.05,13,"DSL","Yes","Yes","Mailed check","No"
"Male",35,"Month-to-Month",117.9,32,"Fiber optic","Yes","Yes","Electronic check","Yes"
"Female",42,"One Year",80.35,9,"Fiber optic","Yes","Yes","Credit card (automatic)","No"
"Male",29,"One Year",55.78,40,"Fiber optic","Yes","No","Bank transfer (automatic)","No"
"Male",32,"Month-to-Month",84.78,20,"Fiber optic","Yes","Yes","Bank transfer (automatic)","No"
"Female",43,"Month-to-Month",32.29,63,"DSL","Yes","Yes","Electronic check","No"
"Male",58,"Month-to-Month",108.87,44,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Male",62,"Month-to-Month",70.31,38,"DSL","Yes","No phone service","Electronic check","No"
"Male",43,"Month-to-Month",64.93,60,"Fiber optic","Yes","No","Electronic check","Yes"
"Male",64,"Two Year",78.59,71,"Fiber optic","Yes","Yes","Mailed check","Yes"
"Female",49,"Month-to-Month",82.48,48,"No","Yes","No","Electronic check","No"
"Male",27,"One Year",27.18,18,"DSL","Yes","No phone service","Credit card (automatic)","No"
"Female",33,"Month-to-Month",88.26,16,"Fiber optic","Yes","No","Electronic check","No"
"Female",24,"Month-to-Month",44.19,55,"DSL","Yes","No phone service","Credit card (automatic)","No"
"Male",34,"One Year",91.4,39,"Fiber optic","Yes","No phone service","Bank transfer (automatic)","No"
"Female",40,"One Year",102.25,68,"Fiber optic","Yes","Yes","Electronic check","Yes"
"Male",43,"Two Year",100.4,59,"No","No","No","Credit card (automatic)","No"
"Male",38,"Month-to-Month",75.25,62,"DSL","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",39,"Month-to-Month",72.02,13,"DSL","Yes","No","Credit card (automatic)","No"
"Female",24,"One Year",34.29,6,"Fiber optic","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",31,"Month-to-Month",97.53,60,"DSL","Yes","Yes","Mailed check","No"
"Male",32,"Month-to-Month",47.14,14,"DSL","Yes","No phone service","Electronic check","Yes"
"Male",70,"Month-to-Month",69.67,54,"Fiber optic","Yes","Yes","Electronic check","No"
"Female",24,"Month-to-Month",48.43,4,"DSL","Yes","No phone service","Bank transfer (automatic)","No"
"Male",26,"One Year",33.38,39,"DSL","Yes","Yes","Mailed check","No"
"Male",68,"Month-to-Month",82.96,25,"Fiber optic","Yes","Yes","Credit card (automatic)","No"
"Male",65,"Month-to-Month",25.43,32,"Fiber optic","Yes","No phone service","Mailed check","No"
"Male",25,"Month-to-Month",94.86,59,"DSL","Yes","No","Credit card (automatic)","No"
"Female",67,"Month-to-Month",51.76,63,"DSL","Yes","No","Credit card (automatic)","No"
"Male",40,"Month-to-Month",20.01,38,"Fiber optic","Yes","Yes","Electronic check","Yes"
"Female",46,"Month-to-Month",71.11,53,"DSL","Yes","No","Bank transfer (automatic)","No"
"Male",35,"Month-to-Month",24.69,67,"Fiber optic","Yes","No","Electronic check","Yes"
"Female",48,"One Year",47.62,28,"DSL","Yes","No","Electronic check","Yes"
"Female",47,"Month-to-Month",90.7,3,"Fiber optic","Yes","No","Electronic check","No"
"Male",69,"Month-to-Month",26.27,22,"Fiber optic","Yes","No phone service","Credit card (automatic)","No"
"Female",56,"One Year",103.93,38,"Fiber optic","Yes","No","Electronic check","No"
"Female",52,"One Year",20.38,62,"No","Yes","No phone service","Credit card (automatic)","No"
"Female",35,"Month-to-Month",44.68,57,"Fiber optic","Yes","No","Bank transfer (automatic)","Yes"
"Female",59,"Month-to-Month",94.09,6,"DSL","Yes","No","Credit card (automatic)","Yes"
"Female",56,"Month-to-Month",51.63,32,"DSL","Yes","Yes","Credit card (automatic)","No"
"Female",34,"One Year",30.19,10,"Fiber optic","Yes","Yes","Mailed check","No"
"Male",31,"Two Year",56.02,3,"DSL","Yes","No phone service","Electronic check","Yes"
"Male",48,"One Year",47.04,59,"DSL","Yes","Yes","Electronic check","No"
"Male",41,"Month-to-Month",104.27,49,"Fiber optic","Yes","Yes","Electronic check","No"
"Male",52,"One Year",51.33,59,"Fiber optic","No","Yes","Electronic check","No"
"Male",61,"Month-to-Month",98.89,31,"Fiber optic","Yes","Yes","Mailed check","No"
"Male",62,"Month-to-Month",109.19,69,"Fiber optic","Yes","No phone service","Mailed check","No"
"Female",51,"Month-to-Month",63.38,62,"Fiber optic","Yes","No phone service","Mailed check","No"
"Male",20,"Two Year",110.99,52,"DSL","Yes","No","Mailed check","Yes"
"Male",54,"Month-to-Month",57.73,41,"No","Yes","Yes","Electronic check","No"
"Female",60,"One Year",116.41,31,"DSL","Yes","No","Credit card (automatic)","No"
"Male",57,"Month-to-Month",28.93,22,"Fiber optic","Yes","No","Bank transfer (automatic)","Yes"
"Female",43,"Month-to-Month",88.7,4,"Fiber optic","No","No phone service","Mailed check","No"
"Male",72,"Month-to-Month",69.38,13,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Female",40,"Month-to-Month",58.76,45,"Fiber optic","Yes","Yes","Mailed check","No"
"Female",61,"One Year",83.27,42,"DSL","Yes","No","Electronic check","Yes"
"Male",56,"Month-to-Month",90.39,49,"Fiber optic","Yes","No phone service","Electronic check","No"
"Male",32,"One Year",20.44,20,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Female",73,"One Year",36.7,54,"Fiber optic","Yes","No","Credit card (automatic)","Yes"
"Female",66,"Two Year",91.3,36,"No","Yes","Yes","Credit card (automatic)","No"
"Female",21,"Month-to-Month",86.64,1,"Fiber optic","Yes","No","Electronic check","No"
"Female",46,"Month-to-Month",116.6,15,"DSL","Yes","No","Electronic check","No"
"Male",39,"Month-to-Month",96.1,17,"DSL","Yes","Yes","Bank transfer (automatic)","Yes"
"Male",42,"Two Year",115.08,24,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Male",30,"Two Year",90.25,58,"Fiber optic","Yes","Yes","Bank transfer (automatic)","No"
"Female",35,"Month-to-Month",49.81,23,"Fiber optic","No","Yes","Mailed check","No"
"Female",50,"One Year",30.54,46,"Fiber optic","Yes","Yes","Bank transfer (automatic)","No"
"Male",33,"Month-to-Month",98.18,8,"No","Yes","Yes","Mailed check","No"
"Male",62,"One Year",84.41,59,"No","Yes","No","Mailed check","Yes"
"Male",59,"Month-to-Month",24.82,59,"No","No","Yes","Bank transfer (automatic)","No"
"Male",61,"One Year",56.01,13,"DSL","Yes","Yes","Credit card (automatic)","No"
"Female",19,"Month-to-Month",115.68,39,"Fiber optic","Yes","No phone service","Mailed check","No"
"Female",72,"One Year",70.04,28,"DSL","Yes","No","Credit card (automatic)","Yes"
"Female",52,"One Year",63.27,61,"DSL","Yes","No","Electronic check","No"
"Male",59,"One Year",65.77,16,"Fiber optic","Yes","No","Mailed check","No"
"Male",51,"Month-to-Month",40.89,2,"Fiber optic","Yes","No","Electronic check","No"
"Female",47,"Month-to-Month",56.87,17,"DSL","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",72,"Month-to-Month",56.98,30,"DSL","No","No phone service","Credit card (automatic)","Yes"
"Female",30,"Month-to-Month",25.24,13,"DSL","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",30,"Month-to-Month",96.76,13,"No","Yes","No","Mailed check","No"
"Male",35,"Two Year",61.65,43,"DSL","Yes","Yes","Electronic check","Yes"
"Female",49,"Month-to-Month",102.22,21,"DSL","Yes","No","Mailed check","Yes"
"Male",49,"Month-to-Month",105.03,55,"Fiber optic","Yes","No","Bank transfer (automatic)","Yes"
"Male",52,"Month-to-Month",41.2,40,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Male",56,"Month-to-Month",85.74,15,"No","Yes","Yes","Credit card (automatic)","Yes"
"Male",63,"One Year",67.23,52,"DSL","Yes","No","Mailed check","No"
"Female",69,"Month-to-Month",108.02,53,"Fiber optic","Yes","No phone service","Mailed check","Yes"
"Male",46,"Two Year",41.57,52,"Fiber optic","Yes","No phone service","Electronic check","No"
